age,income,purchases_last_year,region,churned
62,62521,0,east,1
65,106339,5,west,0
18,77191,27,east,0
21,77852,43,south,0
21,100675,30,east,0
57,121490,9,east,0
27,42302,19,east,0
37,107069,7,west,0
39,103697,21,east,0
68,72513,37,north,0
54,126642,28,south,0
41,74545,8,south,0
24,139005,43,west,0
42,100212,46,north,0
42,40989,0,south,0
30,22562,40,north,1
19,42597,38,south,0
56,148357,25,west,0
57,45484,10,south,0
41,122956,34,west,0
64,98709,23,west,0
42,112925,32,east,0
35,66402,19,north,0
55,113807,26,west,0
43,140923,14,north,0
31,31605,32,south,1
26,118727,6,north,0
27,146503,33,east,0
38,85483,44,south,0
69,113846,45,south,0
34,146366,41,east,0
69,81073,4,north,0
23,141542,29,north,0
33,119271,27,south,0
65,122674,17,south,0
18,127356,35,east,0
36,42571,2,north,1
53,74355,20,north,0
42,53201,45,north,0
67,98633,15,east,0
69,108157,36,east,0
47,148174,41,south,0
37,103349,4,west,1
37,147177,49,west,0
32,64889,13,south,0
57,104466,30,south,0
50,116736,45,west,0
19,99835,23,south,0
27,102249,34,west,0
50,105532,35,north,0
49,36363,9,north,0
28,44785,26,north,0
41,75913,26,north,0
53,83418,22,east,0
29,56736,12,east,0
68,110070,15,north,0
46,117855,34,south,0
52,86576,26,north,0
18,91786,38,south,0
18,77508,46,east,0
54,110718,16,west,0
23,27704,47,east,1
56,92308,40,west,0
58,123615,0,south,0
35,62179,10,north,0
33,45907,11,west,0
22,65192,13,west,0
59,29144,7,north,1
60,147835,30,south,0
49,47741,6,north,0
19,124315,45,north,0
19,137486,30,east,0
57,82551,15,south,0
59,126656,41,west,0
53,22195,38,north,1
56,24680,43,east,1
29,75751,18,west,0
64,45687,7,north,0
36,72237,28,north,0
45,117594,1,south,1
18,140401,41,north,0
32,58008,2,west,1
53,30100,28,west,0
30,80343,14,east,0
60,100704,37,north,0
38,63723,27,west,0
29,119036,36,south,0
22,74180,31,west,0
24,77625,29,north,0
22,65856,46,north,0
65,109514,29,south,0
21,97582,33,north,0
30,40950,12,north,0
54,29500,32,south,1
58,125748,41,west,0
32,118258,16,north,0
33,72548,2,east,1
38,66614,8,north,0
53,140035,10,north,0
41,43418,48,south,0
33,69747,26,south,0
31,53415,27,south,0
39,32232,1,south,1
66,36957,0,north,1
67,125101,5,east,0
23,123941,24,west,0
59,77600,34,east,0
53,47784,15,east,0
18,64239,3,south,1
49,133103,46,north,0
23,118229,37,north,0
48,123563,43,north,0
18,127524,19,west,0
67,59335,24,east,0
68,57212,6,west,0
54,72141,20,west,0
52,82746,6,east,0
66,53354,28,west,0
47,99668,6,south,0
21,74254,2,east,1
52,27601,28,east,1
60,47867,28,east,0
31,31059,38,east,0
66,86275,37,north,0
57,115081,5,west,0
39,41266,45,west,0
27,113557,9,west,0
18,25410,36,east,0
28,68691,13,west,0
68,68798,21,west,0
61,102357,31,east,0
41,89434,17,west,0
20,114123,35,east,0
52,38231,45,east,1
53,29724,8,east,1
48,135708,25,east,0
21,43314,21,south,0
36,86477,45,west,0
64,47479,37,west,0
53,45025,22,south,0
38,31590,16,west,1
35,74762,25,north,0
68,96853,46,south,0
45,94544,37,north,0
32,51838,1,south,1
59,38491,5,south,1
19,34672,6,south,1
54,111802,12,west,0
28,115868,26,west,0
40,106179,10,north,0
61,31834,14,north,1
58,102865,8,south,0
29,82570,7,south,0
20,93929,45,north,0
69,76620,5,north,0
34,103725,47,south,0
50,67993,42,south,0
18,87398,3,south,1
56,127046,10,south,0
37,122055,27,north,0
64,128168,25,east,0
60,136728,3,north,0
69,86439,14,north,0
58,115952,18,east,0
31,35352,5,east,1
48,84022,4,west,1
42,110616,17,west,0
20,109935,5,north,0
21,34297,30,north,1
48,25896,24,east,1
52,32003,3,east,1
61,93478,5,west,0
31,43761,40,west,0
66,62439,36,east,0
58,149492,49,north,0
26,123897,24,south,0
37,101858,33,east,0
49,115804,18,south,0
26,147376,33,south,0
44,72280,14,north,0
20,125330,49,north,0
21,56589,7,south,0
62,104631,43,west,0
32,28472,46,north,1
50,86564,48,west,0
22,55428,33,east,0
21,82444,17,east,0
63,87889,29,south,0
29,112503,12,south,0
40,107582,46,east,0
31,27734,32,east,0
63,110265,34,south,0
29,48436,23,east,0
